,rat,day,perf_change
441,BP22,23,-0.15707001332001336
442,BP22,24,0.20362776520864756
443,BP22,25,0.034124066293183986
444,BP22,26,0.003676470588235281
445,BP22,27,-0.0071428571428572285
446,BP22,28,-0.2724264705882352
447,BP22,29,0.25283730158730156
448,BP22,30,0.019971139971139973
449,BP22,31,-0.4046536796536797
450,BP22,32,0.27349733599733617
451,BP22,33,-0.09411421911421913
452,BP22,34,0.16780303030303023
453,BP22,35,-0.040638528138528196
454,BP22,36,-0.03630952380952368
455,BP22,37,0.17619047619047612
456,BP22,38,-0.16815476190476197
457,BP22,39,0.09275793650793651
458,BP22,40,0.05077561327561331
459,BP22,41,-0.19785353535353534
460,BP22,42,0.09186577311577304
461,BP22,43,0.027170745920746087
462,BP22,44,-0.08951048951048957
463,BP22,45,-0.14758158508158514
464,BP22,46,0.17611036838978011
465,BP22,47,0.05748520270579105
466,BP22,48,0.12360139860139852
467,BP22,49,-0.03154761904761905
468,BP22,50,-0.0011407194456729552
469,TH405,1,
470,TH405,2,0.10219298245614039
471,TH405,3,0.03645833333333326
472,TH405,4,-0.16466346153846156
473,TH405,5,0.19368131868131866
474,TH405,6,0.24007936507936511
475,TH405,7,-0.002525252525252486
476,TH405,8,-0.25153457653457656
477,TH405,9,0.06665583520422225
478,TH405,10,0.017082356428706258
479,TH405,11,0.0955353126405758
480,TH405,12,-0.06714837306942578
481,TH405,13,-0.08159471390895534
482,TH405,14,0.1441242490262099
483,TH405,15,-0.042138326452052066
484,TH405,16,-0.030520630264875726
485,TH405,17,-0.09690124266783318
486,TH405,18,0.039962385932780675
487,TH405,19,0.007262172887172902
488,TH405,20,0.1091141693163753
489,TH405,21,-0.14070669934640523
490,TH405,22,0.14042950513538743
491,TH405,23,-0.09770691339963788
492,TH405,24,-0.04814587215902999
493,TH405,25,0.1045991045991046
494,TH405,26,-0.05375098757451702
495,TH405,27,0.027392930856553144
496,TH405,28,0.024363137703593996
497,TH405,29,-0.01845895661191954
498,TH405,30,-0.09016722841586722
499,TH405,31,0.11321295663400921
500,TH405,32,-0.086489898989899
501,TH405,33,0.08293650793650797
502,TH405,34,0.04401373452606849
503,TH405,35,-0.05294475434418511
504,TH508,1,
505,TH508,2,0.14583333333333348
506,TH508,3,0.01817375886524819
507,TH508,4,-0.013874817066306555
508,TH508,5,-0.05846560846560833
509,TH508,6,0.1102564102564102
510,TH508,7,-0.10760073260073255
511,TH508,8,0.04517040930084404
512,TH508,9,-0.0561594202898551
513,TH508,10,-0.011904761904761862
514,TH508,11,0.0836527293844368
515,TH508,12,-0.0930894308943091
516,TH508,13,-0.04382144385353626
517,TH508,14,0.034833449903829417
518,TH508,15,-0.022173122615019136
519,TH508,16,0.11300309597523228
520,TH508,17,-0.13828088256934212
521,TH508,18,0.07586159906646717
522,TH508,19,-0.1130800031935223
523,TH508,20,0.08761781831957283
524,TH508,21,-0.07109384868005553
525,TH508,22,-0.009159619073412228
526,TH508,23,0.07916364920675267
527,TH508,24,0.07897854261000803
528,TH508,25,-0.06379413925124433
529,TH508,26,0.00017447945701554168
530,TH508,27,-0.13843411490470314
531,TH508,28,0.14940502804952938
532,TH508,29,0.0010268929706269692
533,TH508,30,-0.049811843929491006
534,TH508,31,-0.008597883597883604
535,TH508,32,-0.017857142857142794
536,TH508,33,-0.05473602484472051
537,TH508,34,0.13121118012422361
538,TH508,35,0.07889725009290227
539,TH508,36,-0.0675747863247863
540,TH508,37,0.0316763997033741
541,TH508,38,0.042095494111623166
542,TH510,1,
543,TH510,2,0.1706433637284701
544,TH510,3,0.06335134526623887
545,TH510,4,0.042405851229380565
546,TH510,5,0.040723981900452566
547,TH510,6,-0.015669515669515688
548,TH510,7,-0.03385898866530146
549,TH510,8,0.013672152848160035
