,rat,day,trial_type,perf_change
703,BP11,36,1,18.75
704,BP11,37,1,0.0
705,BP11,38,1,0.0
706,BP11,39,1,-40.90909090909091
707,BP11,40,1,40.90909090909091
708,BP11,41,1,0.0
709,BP11,42,1,-6.666666666666671
710,BP11,43,1,-8.717948717948715
711,BP11,44,1,-14.615384615384613
712,BP11,45,1,7.777777777777786
713,BP11,46,1,22.222222222222214
714,BP11,47,1,-6.666666666666671
715,BP11,48,1,-13.333333333333329
716,BP11,49,1,1.8181818181818272
717,BP11,50,1,-0.8658008658008782
718,BP11,51,1,19.04761904761905
719,BP11,52,1,-7.142857142857139
720,BP11,1,2,82.83333333333334
721,BP11,2,2,-83.33333333333334
722,BP11,3,2,0.0
723,BP11,4,2,80.0
724,BP11,5,2,-13.333333333333343
725,BP11,6,2,11.111111111111128
726,BP11,7,2,-6.349206349206355
727,BP11,8,2,-11.42857142857143
728,BP11,9,2,33.75
729,BP11,10,2,-2.8409090909090935
730,BP11,11,2,-0.9090909090909065
731,BP11,12,2,-15.0
732,BP11,13,2,18.33333333333333
733,BP11,14,2,-3.3333333333333286
734,BP11,15,2,-3.3333333333333286
735,BP11,16,2,1.5686274509803866
736,BP11,17,2,-16.806722689075627
737,BP11,18,2,28.57142857142857
738,BP11,19,2,0.0
739,BP11,20,2,-9.090909090909093
740,BP11,21,2,5.519480519480524
741,BP11,22,2,-0.2747252747252702
742,BP11,23,2,-2.4038461538461604
743,BP11,24,2,1.9021739130434838
744,BP11,25,2,4.347826086956516
745,BP11,26,2,-9.090909090909093
746,BP11,27,2,9.090909090909093
747,BP11,28,2,0.0
748,BP11,30,2,0.0
749,BP11,31,2,0.0
750,BP11,32,2,-6.666666666666671
751,BP11,33,2,6.666666666666671
752,BP11,34,2,-11.111111111111114
753,BP11,35,2,11.111111111111114
754,BP11,36,2,0.0
755,BP11,37,2,0.0
756,BP11,38,2,0.0
757,BP11,39,2,0.0
758,BP11,40,2,-4.761904761904773
759,BP11,41,2,-3.5714285714285694
760,BP11,42,2,-1.6666666666666572
761,BP11,43,2,-12.222222222222214
762,BP11,44,2,10.10101010101009
763,BP11,45,2,-9.617918313570485
764,BP11,46,2,5.072463768115952
765,BP11,47,2,-3.333333333333343
766,BP11,48,2,10.0
767,BP11,49,2,10.0
768,BP11,50,2,0.0
769,BP11,51,2,0.0
770,BP11,52,2,0.0
771,BP11,12,3,28.07142857142857
772,BP11,13,3,25.0
773,BP11,14,3,0.0
774,BP11,15,3,2.950310559006212
775,BP11,16,3,-17.12779973649539
776,BP11,17,3,20.60606060606061
777,BP11,18,3,6.666666666666657
778,BP11,19,3,13.333333333333343
779,BP11,20,3,-12.0
780,BP11,21,3,4.972972972972968
781,BP11,22,3,10.360360360360374
782,BP11,23,3,16.666666666666657
783,BP11,24,3,-12.5
784,BP11,25,3,0.0
785,BP11,26,3,12.5
786,BP11,27,3,-11.764705882352942
787,BP11,28,3,-38.23529411764706
788,BP11,30,3,22.41379310344827
789,BP11,31,3,-10.509031198686365
790,BP11,32,3,1.2531328320801975
791,BP11,33,3,11.842105263157897
792,BP11,34,3,-17.85714285714286
793,BP11,35,3,12.857142857142861
794,BP11,36,3,-3.333333333333343
795,BP11,37,3,-9.523809523809518
796,BP11,38,3,2.857142857142861
797,BP11,39,3,10.588235294117652
798,BP11,40,3,-6.588235294117652
