,rat,day,trial_type,total_trials,correct_trials
452,BP07,6,2,27.0,20.0
453,BP07,6,3,26.0,18.0
454,BP07,1,1,6.0,5.0
455,BP07,1,2,4.0,2.0
456,BP07,27,1,18.0,18.0
457,BP07,27,2,15.0,15.0
458,BP07,27,3,16.0,15.0
459,BP07,27,4,14.0,14.0
460,BP07,27,5,14.0,14.0
461,BP07,18,1,14.0,14.0
462,BP07,18,2,14.0,14.0
463,BP07,18,3,19.0,17.0
464,BP07,18,4,15.0,15.0
465,BP07,18,5,15.0,14.0
466,BP07,20,1,15.0,15.0
467,BP07,20,2,15.0,15.0
468,BP07,20,3,17.0,15.0
469,BP07,20,4,15.0,15.0
470,BP07,20,5,18.0,18.0
471,BP07,16,1,23.0,23.0
472,BP07,16,2,31.0,25.0
473,BP07,16,3,28.0,23.0
474,BP07,16,4,28.0,23.0
475,BP07,16,5,28.0,26.0
476,BP07,11,1,35.0,35.0
477,BP07,11,2,40.0,34.0
478,BP07,11,3,38.0,37.0
479,BP07,10,1,34.0,32.0
480,BP07,10,2,35.0,30.0
481,BP07,10,3,35.0,30.0
482,BP07,17,1,21.0,21.0
483,BP07,17,2,25.0,22.0
484,BP07,17,3,22.0,21.0
485,BP07,17,4,22.0,21.0
486,BP07,17,5,27.0,24.0
487,BP07,28,1,2.0,2.0
488,BP07,28,2,2.0,2.0
489,BP07,28,3,5.0,5.0
490,BP07,28,4,4.0,3.0
491,BP07,28,5,4.0,2.0
492,BP07,21,1,15.0,14.0
493,BP07,21,2,16.0,16.0
494,BP07,21,3,14.0,14.0
495,BP07,21,4,15.0,14.0
496,BP07,21,5,17.0,17.0
497,BP07,26,1,15.0,15.0
498,BP07,26,2,16.0,16.0
499,BP07,26,3,16.0,16.0
500,BP07,26,4,16.0,16.0
501,BP07,26,5,17.0,17.0
502,BP07,19,1,16.0,16.0
503,BP07,19,2,15.0,15.0
504,BP07,19,3,19.0,14.0
505,BP07,19,4,18.0,17.0
506,BP07,19,5,14.0,14.0
507,TH605,4,1,21.0,19.0
508,TH605,4,2,26.0,22.0
509,TH605,3,1,33.0,32.0
510,TH605,3,2,39.0,28.0
511,TH605,2,1,15.0,14.0
512,TH605,2,2,19.0,13.0
513,TH605,5,1,23.0,23.0
514,TH605,5,2,25.0,19.0
515,TH605,23,1,21.0,21.0
516,TH605,23,2,28.0,28.0
517,TH605,23,3,28.0,24.0
518,TH605,23,4,19.0,14.0
519,TH605,24,1,19.0,18.0
520,TH605,24,2,20.0,19.0
521,TH605,24,3,26.0,18.0
522,TH605,24,4,30.0,27.0
523,TH605,12,1,13.0,12.0
524,TH605,12,2,17.0,12.0
525,TH605,12,3,21.0,12.0
526,TH605,12,4,25.0,15.0
527,TH605,15,1,23.0,20.0
528,TH605,15,2,22.0,13.0
529,TH605,15,3,30.0,18.0
530,TH605,15,4,21.0,12.0
531,TH605,14,1,21.0,19.0
532,TH605,14,2,21.0,18.0
533,TH605,14,3,26.0,15.0
534,TH605,14,4,20.0,15.0
535,TH605,13,1,17.0,13.0
536,TH605,13,2,20.0,14.0
537,TH605,13,3,24.0,12.0
538,TH605,13,4,19.0,14.0
539,TH605,25,1,25.0,22.0
540,TH605,25,2,28.0,21.0
541,TH605,25,3,36.0,31.0
542,TH605,25,4,29.0,23.0
543,TH605,22,1,3.0,3.0
544,TH605,22,2,3.0,0.0
545,TH605,22,3,12.0,8.0
546,TH605,22,4,12.0,11.0
547,TH605,7,1,29.0,26.0
548,TH605,7,2,30.0,23.0
549,TH605,7,3,35.0,24.0
550,TH605,9,1,24.0,24.0
551,TH605,9,2,28.0,23.0
552,TH605,9,3,28.0,22.0
553,TH605,8,1,24.0,23.0
554,TH605,8,2,24.0,24.0
555,TH605,8,3,29.0,24.0
556,TH605,6,1,25.0,24.0
557,TH605,6,2,26.0,21.0
558,TH605,6,3,43.0,21.0
559,TH605,1,1,18.0,13.0
560,TH605,1,2,19.0,14.0
561,TH605,27,1,20.0,15.0
562,TH605,27,2,18.0,18.0
563,TH605,27,3,25.0,19.0
564,TH605,27,4,22.0,18.0
565,TH605,18,1,25.0,22.0
566,TH605,18,2,24.0,21.0
567,TH605,18,3,30.0,25.0
568,TH605,18,4,24.0,19.0
569,TH605,20,1,20.0,18.0
570,TH605,20,2,21.0,20.0
571,TH605,20,3,25.0,21.0
572,TH605,20,4,23.0,18.0
573,TH605,16,1,26.0,24.0
574,TH605,16,2,29.0,21.0
575,TH605,16,3,28.0,18.0
576,TH605,16,4,29.0,22.0
577,TH605,29,1,16.0,16.0
578,TH605,29,2,17.0,16.0
579,TH605,29,3,20.0,19.0
580,TH605,29,4,17.0,16.0
581,TH605,11,1,12.0,12.0
582,TH605,11,2,16.0,13.0
583,TH605,11,3,13.0,12.0
584,TH605,11,4,19.0,13.0
585,TH605,10,1,24.0,24.0
586,TH605,10,2,26.0,22.0
587,TH605,10,3,33.0,23.0
588,TH605,10,4,40.0,21.0
589,TH605,17,1,23.0,22.0
590,TH605,17,2,22.0,17.0
591,TH605,17,3,28.0,23.0
592,TH605,17,4,22.0,20.0
593,TH605,28,1,27.0,24.0
594,TH605,28,2,24.0,23.0
595,TH605,28,3,26.0,21.0
596,TH605,28,4,26.0,23.0
597,TH605,21,1,21.0,21.0
598,TH605,21,2,22.0,19.0
599,TH605,21,3,30.0,18.0
600,TH605,21,4,28.0,19.0
601,TH605,26,1,27.0,20.0
602,TH605,26,2,30.0,28.0
603,TH605,26,3,29.0,17.0
604,TH605,26,4,27.0,18.0
605,TH605,19,1,20.0,19.0
606,TH605,19,2,21.0,18.0
607,TH605,19,3,21.0,17.0
608,TH605,19,4,21.0,18.0
609,BP22,38,1,12.0,9.0
610,BP22,38,2,11.0,11.0
611,BP22,38,3,14.0,11.0
612,BP22,38,4,8.0,5.0
613,BP22,31,1,18.0,12.0
614,BP22,31,2,7.0,5.0
615,BP22,31,3,2.0,0.0
616,BP22,31,4,3.0,2.0
617,BP22,36,1,7.0,5.0
618,BP22,36,2,10.0,9.0
619,BP22,36,3,7.0,5.0
620,BP22,36,4,15.0,12.0
621,BP22,37,1,13.0,13.0
622,BP22,37,2,5.0,5.0
623,BP22,37,3,12.0,10.0
624,BP22,37,4,11.0,11.0
625,BP22,30,1,22.0,20.0
626,BP22,30,2,10.0,9.0
627,BP22,30,3,7.0,6.0
628,BP22,30,4,7.0,7.0
629,BP22,39,1,14.0,13.0
630,BP22,39,2,9.0,8.0
631,BP22,39,3,14.0,13.0
632,BP22,39,4,14.0,11.0
633,BP22,4,1,13.0,12.0
634,BP22,4,2,15.0,11.0
635,BP22,3,1,10.0,9.0
636,BP22,3,2,16.0,6.0
637,BP22,2,1,16.0,15.0
638,BP22,2,2,28.0,14.0
639,BP22,5,1,19.0,19.0
640,BP22,5,2,25.0,22.0
641,BP22,41,1,9.0,8.0
642,BP22,41,2,7.0,7.0
643,BP22,41,3,10.0,6.0
644,BP22,41,4,11.0,5.0
645,BP22,46,1,11.0,11.0
646,BP22,46,2,9.0,8.0
647,BP22,46,3,8.0,7.0
648,BP22,46,4,17.0,7.0
649,BP22,48,1,9.0,9.0
650,BP22,48,2,9.0,9.0
651,BP22,48,3,10.0,9.0
652,BP22,48,4,9.0,9.0
653,BP22,23,1,13.0,10.0
