,rat,day,trial_type,days_since_new_arm,perf_change
330,BP19,7,2,6,0.11111111111111105
331,BP19,8,2,7,-0.07070707070707061
332,BP19,9,2,8,0.0032467532467531646
333,BP19,10,2,9,0.12301587301587302
334,BP19,11,3,0,0.3421052631578947
335,BP19,12,3,1,0.10526315789473684
336,BP19,13,4,0,0.09259259259259256
337,BP19,14,4,1,0.07407407407407407
338,BP19,15,4,2,0.16666666666666674
339,BP19,16,4,3,-0.02083333333333337
340,BP19,17,4,4,-0.023026315789473673
341,BP19,18,4,5,-0.027568922305764465
342,BP19,19,4,6,0.07142857142857151
343,BP19,20,4,7,0.11666666666666659
344,BP19,21,4,8,-0.29999999999999993
345,BP19,22,4,9,0.09999999999999998
346,BP19,23,4,10,-0.08333333333333337
347,BP19,24,4,11,0.29333333333333333
348,BP19,25,4,12,-0.15047619047619043
349,BP19,26,4,13,0.19047619047619047
350,BP19,27,4,14,-0.3157894736842105
351,BP19,28,4,15,0.17942583732057416
352,BP19,29,4,16,0.005928853754940677
353,BP19,30,4,17,0.09595202398800606
354,BP19,31,4,18,-0.010971786833855801
355,BP19,32,4,19,-0.07219251336898402
356,BP19,33,4,20,0.0267379679144385
357,BP19,34,4,21,-0.051948051948051965
358,BP19,35,4,22,-0.04761904761904756
359,BP19,36,4,23,-0.04761904761904767
360,BP19,37,4,24,0.17559523809523814
361,BP19,38,4,25,0.009868421052631526
362,BP19,39,4,26,-0.0029239766081871066
363,BP19,40,4,27,-0.10233918128654973
364,BP19,41,4,28,0.07789473684210535
365,BP19,42,4,29,-0.020000000000000018
366,BP21,1,2,0,-0.25
367,BP21,2,2,1,0.21153846153846156
368,BP21,3,2,2,0.038461538461538436
369,BP21,4,2,3,0.3571428571428571
370,BP21,5,2,4,0.1428571428571429
371,BP21,6,2,5,-0.25
372,BP21,7,2,6,-0.125
373,BP21,8,2,7,0.24456521739130432
374,BP21,9,2,8,-0.019565217391304346
375,BP21,10,2,9,0.10999999999999999
376,BP21,11,2,10,-0.010000000000000009
377,BP21,12,3,0,0.16666666666666663
378,BP21,13,3,1,0.23809523809523814
379,BP21,14,3,2,-0.022408963585434205
380,BP21,15,3,3,-0.16013071895424835
381,BP21,16,3,4,0.0
382,BP21,17,3,5,0.21111111111111114
383,BP21,18,3,6,-0.24912280701754386
384,BP21,19,3,7,0.14912280701754388
385,BP21,20,3,8,0.16666666666666663
386,BP21,21,3,9,-0.09999999999999998
387,BP21,22,3,10,-0.4
388,BP21,23,3,11,0.40909090909090906
389,BP21,24,3,12,0.007575757575757569
390,BP21,25,3,13,0.08333333333333337
391,BP21,26,3,14,-0.15384615384615385
392,BP21,27,4,0,0.375
393,BP21,28,4,1,-0.3295454545454546
394,BP21,29,4,2,0.3712121212121212
395,BP21,30,4,3,-0.07051282051282048
396,BP21,31,4,4,0.07692307692307698
397,BP21,32,4,5,-0.12307692307692308
398,BP21,33,4,6,-0.014285714285714346
399,BP21,34,4,7,-0.08571428571428574
400,BP21,35,4,8,0.30000000000000004
401,BP21,36,4,9,-0.11764705882352944
402,BP21,37,4,10,0.03431372549019607
403,BP21,38,4,11,0.0
404,BP21,39,4,12,0.0064102564102564985
405,BP21,40,4,13,-0.013986013986014068
406,BP21,41,4,14,-0.02020202020202022
407,BP21,42,4,15,-0.13888888888888884
408,BP21,43,4,16,0.25
409,BP21,44,4,17,-0.125
410,BP21,45,4,18,-0.375
411,BP21,46,4,19,0.2777777777777778
412,BP21,47,4,20,0.0793650793650793
413,BP21,48,4,21,0.059523809523809534
414,BP21,49,4,22,-0.25
415,BP21,50,4,23,0.2777777777777778
416,BP21,51,4,24,-0.09829059829059827
417,BP21,52,4,25,0.08241758241758246
418,BP21,53,4,26,-0.07142857142857151
419,BP22,1,2,0,-0.07142857142857145
420,BP22,2,2,1,0.07142857142857145
421,BP22,3,2,2,-0.125
422,BP22,4,2,3,0.3583333333333333
423,BP22,5,2,4,0.14666666666666672
424,BP22,6,2,5,-0.05241379310344829
425,BP22,7,2,6,0.039080459770114984
426,BP22,8,3,0,0.32352941176470584
427,BP22,9,3,1,-0.05429864253393657
428,BP22,10,3,2,0.23076923076923073
429,BP22,11,4,0,0.2894736842105263
430,BP22,12,4,1,0.04385964912280704
431,BP22,13,4,2,0.033333333333333326
432,BP22,14,4,3,-0.048484848484848464
433,BP22,15,4,4,-0.35664335664335667
434,BP22,16,4,5,0.32417582417582413
435,BP22,17,4,6,-0.2857142857142857
436,BP22,18,4,7,0.125
437,BP22,19,4,8,0.20833333333333337
438,BP22,20,4,9,0.08333333333333326
439,BP22,21,4,10,-0.02777777777777779
440,BP22,22,4,11,-0.16161616161616155
441,BP22,23,4,12,-0.14393939393939392
442,BP22,24,4,13,0.35416666666666663
443,BP22,25,4,14,0.0625
444,BP22,26,4,15,0.0
445,BP22,27,4,16,0.0
446,BP22,28,4,17,0.0
447,BP22,29,4,18,0.0
448,BP22,30,4,19,0.0
449,BP22,31,4,20,-0.33333333333333337
450,BP22,32,4,21,0.06060606060606066
451,BP22,33,4,22,0.0
452,BP22,34,4,23,0.0
453,BP22,35,4,24,0.1298701298701298
454,BP22,36,4,25,-0.05714285714285705
455,BP22,37,4,26,0.19999999999999996
456,BP22,38,4,27,-0.375
457,BP22,39,4,28,0.1607142857142857
458,BP22,40,4,29,0.13095238095238093
459,BP22,41,4,30,-0.4621212121212121
460,BP22,42,4,31,0.2121212121212121
461,BP22,43,4,32,0.06060606060606066
462,BP22,44,4,33,-0.12727272727272732
463,BP22,45,4,34,-0.1833333333333333
464,BP22,46,4,35,-0.004901960784313764
465,BP22,47,4,36,0.31550802139037437
466,BP22,48,4,37,0.2727272727272727
467,BP22,49,4,38,0.0
468,BP22,50,4,39,-0.05882352941176472
469,TH405,1,2,0,0.050000000000000044
470,TH405,2,2,1,0.07499999999999996
471,TH405,3,2,2,0.125
472,TH405,4,2,3,-0.17307692307692313
473,TH405,5,2,4,0.2802197802197802
474,TH405,6,2,5,0.1428571428571429
475,TH405,7,2,6,-0.06060606060606055
476,TH405,8,3,0,-0.125
477,TH405,9,3,1,0.20564516129032262
478,TH405,10,3,2,-0.13327674023769104
479,TH405,11,3,3,0.2449392712550607
480,TH405,12,3,4,0.12019230769230771
481,TH405,13,3,5,-0.28308823529411764
482,TH405,14,3,6,0.2854030501089324
483,TH405,15,3,7,-0.10893246187363825
484,TH405,16,3,8,0.021390374331550777
485,TH405,17,4,0,0.06666666666666665
486,TH405,18,4,1,-0.09791666666666665
487,TH405,19,4,2,0.1875
488,TH405,20,4,3,0.10845588235294112
489,TH405,21,4,4,0.23529411764705888
490,TH405,22,4,5,-0.1428571428571429
491,TH405,23,4,6,-0.12637362637362637
492,TH405,24,4,7,0.10256410256410264
493,TH405,25,4,8,-0.17948717948717952
494,TH405,26,4,9,0.012820512820512775
495,TH405,27,4,10,0.20833333333333337
496,TH405,28,4,11,-0.03289473684210531
497,TH405,29,4,12,0.015037593984962405
498,TH405,30,4,13,0.0
499,TH405,31,4,14,0.08730158730158732
500,TH405,32,4,15,-0.011111111111111072
501,TH405,33,4,16,-0.12380952380952381
502,TH405,34,4,17,0.12380952380952381
503,TH405,35,4,18,-0.04871794871794877
504,TH508,1,2,0,0.0
505,TH508,2,2,1,0.25
506,TH508,3,2,2,-0.005319148936170248
507,TH508,4,2,3,-0.003940110323089052
508,TH508,5,2,4,-0.14074074074074072
509,TH508,6,2,5,0.2205128205128205
510,TH508,7,2,6,-0.1794871794871794
511,TH508,8,2,7,0.05462653288740238
512,TH508,9,2,8,-0.02898550724637683
513,TH508,10,2,9,0.0
514,TH508,11,2,10,0.13333333333333341
515,TH508,12,2,11,0.033333333333333326
516,TH508,13,2,12,-0.011904761904761973
517,TH508,14,2,13,0.0035714285714285587
518,TH508,15,2,14,-0.030882352941176472
519,TH508,16,2,15,0.1470588235294118
520,TH508,17,3,0,-0.013513513513513487
521,TH508,18,3,1,0.2992277992277992
522,TH508,19,3,2,0.03007518796992481
523,TH508,20,3,3,0.012781954887218117
524,TH508,21,3,4,-0.05934065934065935
525,TH508,22,4,0,0.09459459459459463
526,TH508,23,4,1,0.13267813267813267
527,TH508,24,4,2,0.06060606060606055
528,TH508,25,4,3,0.21212121212121215
529,TH508,26,4,4,-0.09090909090909094
530,TH508,27,4,5,-0.37575757575757573
531,TH508,28,4,6,0.11884057971014494
532,TH508,29,4,7,0.16600790513833996
533,TH508,30,4,8,-0.0033670033670034627
534,TH508,31,4,9,-0.3862433862433862
535,TH508,32,4,10,0.4805194805194805
536,TH508,33,4,11,-0.19480519480519476
537,TH508,34,4,12,0.0357142857142857
538,TH508,35,4,13,0.02777777777777779
539,TH508,36,4,14,-0.06944444444444442
540,TH508,37,4,15,0.09166666666666667
541,TH508,38,4,16,0.021428571428571352
542,TH510,1,2,0,0.033333333333333326
543,TH510,2,2,1,0.019858156028368823
544,TH510,3,2,2,0.15051221434200157
545,TH510,4,2,3,0.061002178649237404
546,TH510,5,2,4,0.08144796380090502
547,TH510,6,3,0,0.33333333333333337
548,TH510,7,3,1,0.0934959349593496
549,TH510,8,4,0,0.32499999999999996
550,TH510,9,4,1,0.14274193548387104
551,TH605,1,2,0,0.23684210526315785
552,TH605,2,2,1,-0.05263157894736836
553,TH605,3,2,2,0.03373819163292846
554,TH605,4,2,3,0.1282051282051282
555,TH605,5,2,4,-0.08615384615384614
556,TH605,6,3,0,-0.011627906976744207
557,TH605,7,3,1,0.19734219269102993
558,TH605,8,3,2,0.141871921182266
559,TH605,9,3,3,-0.041871921182266014
560,TH605,10,4,0,0.025000000000000022
561,TH605,11,4,1,0.15921052631578947
562,TH605,12,4,2,-0.08421052631578951
563,TH605,13,4,3,0.13684210526315788
564,TH605,14,4,4,0.013157894736842146
565,TH605,15,4,5,-0.1785714285714286
566,TH605,16,4,6,0.18719211822660098
567,TH605,17,4,7,0.15047021943573669
568,TH605,18,4,8,-0.11742424242424243
569,TH605,19,4,9,0.06547619047619047
570,TH605,20,4,10,-0.07453416149068315
571,TH605,21,4,11,-0.10403726708074534
572,TH605,22,4,12,0.23809523809523803
573,TH605,23,4,13,-0.17982456140350878
574,TH605,24,4,14,0.16315789473684217
575,TH605,25,4,15,-0.10689655172413792
576,TH605,26,4,16,-0.12643678160919547
577,TH605,27,4,17,0.1515151515151516
578,TH605,28,4,18,0.06643356643356635
579,TH605,29,4,19,0.0565610859728507
580,TH608,1,2,0,0.375
581,TH608,2,2,1,0.01388888888888884
582,TH608,4,3,0,-0.1774193548387097
583,TH608,5,3,0,0.3440860215053763
584,TH608,6,3,1,-0.20238095238095233
